Close/Last,Volume,Open,High,Low,Daily Return,Rolling Volatility
187.68,69668820.0,188.15,189.25,185.84,0.00984665052461664,0.008351787754182839
189.3,43490760.0,186.86,189.31,186.77,0.008631713554987153,0.008351787754182839
189.41,53438960.0,190.64,191.05,188.61,0.0005810882197569978,0.008351787754182839
188.32,40962050.0,189.39,189.54,187.35,-0.005754712000422435,0.008351787754182839
188.85,45155220.0,188.65,189.99,188.0,0.0028143585386575243,0.008351787754182839
187.15,41781930.0,188.42,188.67,186.79,-0.009001853322742837,0.008351787754182839
185.04,56529530.0,185.77,186.21,183.51,-0.011274378840502308,0.008351787754182839
184.15,54630520.0,185.32,185.53,182.44,-0.00480977086035439,0.007030837797877362
183.86,65434500.0,183.55,184.49,181.35,-0.0015748031496062298,0.005079774423751952
182.31,49752470.0,183.42,184.85,181.67,-0.008430327423039286,0.004817310996427526
181.56,53665550.0,181.79,182.43,180.0,-0.004113871976304084,0.004838924081589535
182.32,41529670.0,181.94,182.89,180.66,0.004185944040537404,0.005229479030042532
184.37,52292210.0,183.48,184.96,182.46,0.011243966652040527,0.007675615227626878
182.52,45119680.0,185.01,185.04,182.23,-0.010034170418180777,0.007439516893588442
181.16,40867420.0,182.24,182.76,180.65,-0.007451238220469114,0.0076730623336727895
182.63,54318850.0,181.1,183.92,179.56,0.008114374034003058,0.008640827326248421
181.42,48953940.0,182.51,183.12,180.13,-0.006625417510814247,0.008403254719569599
180.75,136682600.0,181.27,182.57,179.53,-0.0036930878624186203,0.008375962617367578
179.66,73563080.0,179.55,180.53,177.38,-0.006030428769018048,0.008290960224457264
175.1,81510100.0,176.15,176.9,173.79,-0.025381275743070253,0.009892006097722781
170.12,95132360.0,170.76,172.04,169.62,-0.02844089091947455,0.012768220266175051
169.12,68587710.0,171.06,171.24,168.68,-0.005878203620973466,0.01283279055647433
169.0,71765060.0,169.15,170.73,168.49,-0.0007095553453169146,0.011108165807331994
170.73,76267040.0,169.0,173.7,168.94,0.010236686390532546,0.013726055277698468
172.75,60139470.0,172.94,174.38,172.05,0.01183154688689747,0.015748133210505753
173.23,59825370.0,173.15,174.03,171.01,0.002778581765557009,0.01612435809019642
171.13,52488690.0,172.77,173.19,170.76,-0.01212261155688965,0.013978106328347721
173.0,72913510.0,172.91,174.31,172.05,0.010927365160988689,0.009240502374983497
172.62,121752700.0,171.17,172.62,170.29,-0.0021965317919074856,0.008781674710707066
173.72,75604180.0,175.57,177.71,173.52,0.006372378635152387,0.008695488958310888
176.08,55215240.0,174.34,176.61,173.03,0.01358507943817644,0.009176147451112783
178.67,53423100.0,175.72,178.67,175.09,0.014709223080417777,0.00961570151312358
171.37,106181300.0,177.05,177.49,170.84,-0.04085744668942737,0.01987010183210458
172.28,71160140.0,171.76,173.05,170.06,0.005310147633774909,0.019384185212146098
170.85,54288330.0,170.57,171.94,169.45,-0.008300441142326531,0.019123636043765338
169.71,57388450.0,170.0,171.42,169.58,-0.00667251975417027,0.019220501901591094
173.31,60273270.0,170.41,173.6,170.11,0.02121265688527485,0.02106218656514865
171.48,65672690.0,171.75,172.23,170.51,-0.010559113726847924,0.020405747501253395
170.03,46240500.0,171.19,171.25,169.48,-0.008455796594354914,0.01875428793018603
168.84,49329480.0,169.08,169.34,168.23,-0.0069987649238369976,0.01150135029398192
169.65,47691720.0,168.79,170.68,168.58,0.00479744136460547,0.011448055177761174
168.82,53704390.0,170.29,171.92,168.82,-0.004892425582080806,0.01121241886051162
169.58,42104830.0,169.59,170.39,168.95,0.004501836275322857,0.011174006351124003
169.67,37425510.0,169.03,169.2,168.24,0.0005307229626134724,0.006271896695691526
169.67,42451210.0,168.7,170.08,168.35,0.0,0.005356953024291096
167.78,49709340.0,168.8,169.09,167.11,-0.011139270348323183,0.0059954476949869925
175.04,91070280.0,168.34,175.46,168.16,0.04327095005364168,0.0176430047315339
176.55,101670900.0,174.26,178.36,174.21,0.008626599634369292,0.017684298102443582
172.69,73531770.0,175.36,176.63,172.5,-0.02186349476069105,0.020361929463922682
169.38,73711240.0,171.75,173.76,168.27,-0.01916729399502004,0.022047472976526587
168.0,50901210.0,169.61,170.65,168.0,-0.008147360963513983,0.02225805468920601
167.04,43122900.0,168.03,168.64,166.55,-0.005714285714285783,0.02231131104144364
165.0,68149380.0,166.21,166.4,164.08,-0.012212643678160884,0.022387994170785762
165.84,48116440.0,165.52,167.26,164.77,0.005090909090909035,0.011450897056591141
166.9,49537760.0,165.35,167.05,164.92,0.006391702846116676,0.010942045543229138
169.02,48251840.0,166.54,169.3,166.21,0.012702216896345098,0.011404260300773584
169.89,50558330.0,169.53,170.61,168.15,0.0051473198438052314,0.009140363043476572
169.3,44838350.0,169.88,171.34,169.18,-0.003472835364058957,0.008558483017484365
173.5,68169420.0,173.37,176.03,173.1,0.024808033077377445,0.011690510179833448
170.33,65934780.0,173.33,174.99,170.0,-0.0182708933717578,0.013329192213375697
169.3,50383150.0,169.58,172.71,169.11,-0.006047085070157943,0.013916576793330226
173.03,94214920.0,172.51,173.42,170.89,0.022031896042528087,0.015687766086045902
183.38,163224100.0,186.65,187.0,182.66,0.05981621684101013,0.02607510736385193
